TIME,STRATEGY NAME,TRADE NO,STOCK,PRICE,QUANTITY,TYPE,SL,TARGET,STATUS,EXIT PRICE,PL
13:14:40,GREEN GREEN PREVIOUS OPEN BUY PERCENT,133,LICHSGFIN,247.00,3,buy,244.45,249.40,STOPLOSS TRIGGERED,244.45,-7.65,1722
13:14:43,BEARISH ENGULFING 5 MINUTE,134,MRF,57087.15,0,sell,58229.00,55374.65,AUTO SQUARED OFF,57225.00,0.00,1723
13:17:05,MADISON SELL,135,CHOLAFIN,129.45,6,sell,131.00,103.60,AUTO SQUARED OFF,130.20,-4.50,1725
13:17:08,BEARISH ENGULFING 5 MINUTE,136,CANBK,76.50,5,sell,78.15,74.35,AUTO SQUARED OFF,77.25,-3.75,1727
13:25:42,RED RED PREVIOUS OPEN SELL PERCENT,137,SRTRANSFIN,571.90,2,sell,577.75,566.30,STOPLOSS TRIGGERED,577.75,-11.70,1731
13:27:05,MADISON SELL,138,HINDPETRO,177.15,5,sell,178.95,141.80,STOPLOSS TRIGGERED,178.95,-9.00,1737
13:32:06,MADISON SELL,139,M&M,397.80,3,sell,400.40,318.30,AUTO SQUARED OFF,398.80,-3.00,1739
13:40:13,GREEN GREEN PREVIOUS OPEN BUY PERCENT,140,LICHSGFIN,244.35,3,buy,241.85,246.70,TARGET TRIGGERED,246.70,7.05,1743
13:43:09,GREEN GREEN PREVIOUS OPEN BUY PERCENT,141,GRASIM,528.40,2,buy,523.05,533.60,TARGET TRIGGERED,533.60,10.40,1747
13:48:35,GREEN GREEN PREVIOUS OPEN BUY PERCENT,142,BPCL,307.10,5,buy,303.95,310.10,AUTO SQUARED OFF,309.00,9.50,1752
13:52:09,BEARISH ENGULFING 5 MINUTE,143,ADANIPOWER,35.20,50,sell,36.05,34.25,AUTO SQUARED OFF,35.30,-5.00,1755
14:00:30,GREEN GREEN PREVIOUS OPEN BUY PERCENT,144,LICHSGFIN,246.80,3,buy,244.25,249.20,AUTO SQUARED OFF,247.60,2.40,1757
14:00:39,GREEN GREEN PREVIOUS OPEN BUY PERCENT,145,GODREJCP,564.60,2,buy,558.90,570.15,AUTO SQUARED OFF,563.45,-2.30,1759
14:02:04,GREEN GREEN PREVIOUS OPEN BUY PERCENT,146,CADILAHC,333.00,4,buy,329.60,336.25,AUTO SQUARED OFF,332.80,-0.80,1760
14:04:04,GREEN GREEN PREVIOUS OPEN BUY PERCENT,147,GLENMARK,335.30,3,buy,331.85,338.60,AUTO SQUARED OFF,335.00,-0.90,1764
14:05:14,GREEN GREEN PREVIOUS OPEN BUY PERCENT,148,LUPIN,872.85,2,buy,864.05,881.50,AUTO SQUARED OFF,870.55,-4.60,1767
14:05:55,RED RED PREVIOUS OPEN SELL PERCENT,149,SRTRANSFIN,577.90,2,sell,583.80,572.25,AUTO SQUARED OFF,576.00,3.80,1769
14:07:53,RED RED PREVIOUS OPEN SELL PERCENT,150,INDUSINDBK,356.65,1,sell,360.35,353.20,AUTO SQUARED OFF,356.25,0.40,1773
14:13:06,MADISON SELL,151,AMBUJACEM,177.45,6,sell,178.35,142.00,AUTO SQUARED OFF,177.80,-2.10,1777
14:15:34,GREEN GREEN PREVIOUS OPEN BUY PERCENT,152,GRASIM,534.10,2,buy,528.70,539.35,AUTO SQUARED OFF,533.80,-0.60,1780
